event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
add_agent:37,add_agent,38,-35331.236170594224,5286.623289793217,7304.0,465.9442026680877
add_agent:38,add_agent,39,-37299.89749703349,6348.715690967936,7710.0,483.3218389437829
add_agent:39,add_agent,40,-38053.507527000074,7816.264887544914,8130.0,501.95617338568513
add_agent:40,add_agent,41,-39582.22434579152,9439.462038229454,8560.0,520.9222590751906
add_agent:41,add_agent,42,-40654.6069579203,9825.173305921497,9002.0,538.2341497898475
add_agent:42,add_agent,43,-41805.18950952765,9348.552591529637,9454.0,555.755341854669
add_agent:43,add_agent,44,-42614.39216279542,8806.808657993051,9916.0,573.4666511663952
add_agent:44,add_agent,45,-44796.95352287249,10022.411584959676,10388.0,591.3509956024425
add_agent:45,add_agent,46,-45854.16127924067,7804.365591615673,10872.0,610.61935770167
add_agent:46,add_agent,47,-47039.51598974995,7303.838020659151,11366.0,629.971427923521
add_agent:47,add_agent,48,-47572.93279191075,8030.68555984821,11872.0,650.6120195631188
add_agent:48,add_agent,49,-49014.19359784979,7586.999271306215,12388.0,671.309168714386
add_agent:49,add_agent,50,-49086.19071636811,7494.499958687633,12916.0,695.3732810512639
add_agent:50,add_agent,51,-50249.58696736734,8128.264110431738,13454.0,719.4887073470994
add_agent:51,add_agent,52,-50572.24702154224,8406.584363286178,14002.0,743.6504555232922
add_agent:52,add_agent,53,-51916.097389344985,7939.365694203814,14562.0,766.4045928881168
add_agent:53,add_agent,54,-51496.06466772425,7529.191753953638,15132.0,789.2629473122377
add_agent:54,add_agent,55,-52692.389493052426,7484.75222759615,15712.0,812.2167198476033
add_agent:55,add_agent,56,-53782.50894898029,9342.420329797098,16302.0,835.2580439600687
add_agent:56,add_agent,57,-53986.996123118,9027.871897406418,16902.0,858.3798692886501
add_agent:57,add_agent,58,-55455.09440994825,9380.897922452868,17514.0,880.4907722401184
add_agent:58,add_agent,59,-54989.907872641124,8992.529919011544,18136.0,902.6538650003112
add_agent:59,add_agent,60,-56240.131852797276,10190.71572071996,18768.0,924.8653956117074
add_agent:60,add_agent,61,-56496.89085747886,11796.053180875984,19414.0,943.8347312956861
add_agent:61,add_agent,62,-57810.24859684934,10850.957368606505,20074.0,965.1445487594074
add_agent:62,add_agent,63,-58226.06400582891,10986.493564457713,20746.0,985.5069761295453
add_agent:63,add_agent,64,-59264.0546138961,10010.954656692007,21430.0,1005.0273628115804
add_agent:64,add_agent,65,-56995.43919274672,10630.436060878654,22126.0,1025.7602058960954
add_agent:65,add_agent,66,-60179.130449037846,12151.59197527359,22834.0,1045.783916495181
add_agent:66,add_agent,67,-60438.37416157017,13694.963768599204,23552.0,1066.0469032833405
add_agent:67,add_agent,68,-61625.72602698118,16507.844930489016,24280.0,1086.5357794384868
add_agent:68,add_agent,69,-59904.98213805612,15454.129653514397,25020.0,1104.8438803740553
add_agent:69,add_agent,70,-59900.93918612081,15236.168882749906,25772.0,1122.0588219875106
add_agent:70,add_agent,71,-61584.02088249199,16378.434684805961,26536.0,1142.7790687617621
add_agent:71,add_agent,72,-62554.66464090168,15904.834138607108,27310.0,1163.6322443108904
add_agent:72,add_agent,73,-62668.88449474126,16635.886237239174,28096.0,1187.9831648638797
add_agent:73,add_agent,74,-65621.90843410252,16142.593587711477,28894.0,1213.3029300220123
add_agent:74,add_agent,75,-66180.00711921658,16002.900139831225,29702.0,1238.6993178330245
add_agent:75,add_agent,76,-65919.43745168539,15951.434642314422,30526.0,1259.977777581811
add_agent:76,add_agent,77,-67127.93878190152,16100.223105755835,31360.0,1281.3586539294922
add_agent:77,add_agent,78,-70950.41787866675,17731.410741346805,32206.0,1302.4684257209462
add_agent:78,add_agent,79,-71689.2336612022,18568.99625961189,33064.0,1323.4288798420564
add_agent:79,add_agent,80,-72839.21133598818,19314.869796892566,33932.0,1344.6397287005914
add_agent:80,add_agent,81,-74975.8742498102,18096.619467995184,34812.0,1364.8062133504523
add_agent:81,add_agent,82,-75358.38691963741,18307.964781970655,35704.0,1385.8802257049488
add_agent:82,add_agent,83,-76230.92797312955,18477.17325754689,36608.0,1404.5269666332506
add_agent:83,add_agent,84,-78251.01558056651,17662.684937716313,37524.0,1423.2301289672025
add_agent:84,add_agent,85,-81338.16464973046,17875.514892954583,38452.0,1442.1289817488587
add_agent:85,add_agent,86,-81140.17880160132,17166.310782760356,39390.0,1461.341849123606
add_agent:86,add_agent,87,-81397.57173782754,17433.001528303757,40338.0,1480.8565089163772
add_agent:87,add_agent,88,-82940.10802494679,15982.871350417383,41296.0,1500.6611876103148
add_agent:88,add_agent,89,-84538.4886807299,17407.684242565436,42268.0,1522.6870985202443
add_agent:89,add_agent,90,-85825.89911498936,15754.965217824189,43254.0,1543.898960424548
add_agent:90,add_agent,91,-88359.11122272826,17014.781735791912,44250.0,1565.45201140118
add_agent:91,add_agent,92,-89951.14960712504,18684.695364450556,45262.0,1586.787950546638
add_agent:92,add_agent,93,-92387.55134720143,18624.142858358544,46284.0,1608.6963666273384
add_agent:93,add_agent,94,-94802.17851759141,18872.543168189484,47320.0,1628.6804474788785
add_agent:94,add_agent,95,-94645.90838171415,18945.968139101507,48366.0,1649.2859060817807
add_agent:95,add_agent,96,-96036.50591288388,18521.816951031095,49424.0,1670.815369811997
add_agent:96,add_agent,97,-97915.83829394431,19609.64128416481,50494.0,1689.9301760723724
add_agent:97,add_agent,98,-99409.28546462425,19695.337441284646,51574.0,1709.486472599301
add_agent:98,add_agent,99,-100950.13783698366,18873.42249801757,52664.0,1729.4692827569966
add_agent:99,add_agent,100,-102649.37963510808,19184.448920171963,53764.0,1749.863994715018
change_constraint:17-29:-1.132;3.735;2.604,change_constraint,100,-102593.19410746764,18964.740865119016,54864.0,1770.6563754721017
