event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-17767.300698481602,13841.72005180669,-8332.350707869906,7609.024098913422,7.12,2.2506887834616296,1.76,0.5851495535331123,1.84,0.9457272334029512,0.92,0.271293199325011,0.92,0.271293199325011,0.92,0.271293199325011,0.92,0.271293199325011,0.0,0.0,0.1,0.2999999999999999,0.1,0.2999999999999999,0.0,0.0
add_agent:97,add_agent,3,-27243.882390638777,15693.895777664393,-12485.276342740317,7818.090987729109,16.02,6.860000000000002,3.66,1.450655024463087,6.1,3.293933818400121,2.76,1.7726815844928272,1.88,0.8863407922464136,1.58,0.4935585071701225,1.58,0.4935585071701225,0.3,0.5744562646538027,2.74,1.1800000000000004,2.74,1.1800000000000004,0.0,0.0
add_agent:93,add_agent,4,-48697.70817147445,22142.156433913107,-25356.50123292572,12405.768295827493,35.3,8.025584090893323,7.36,1.9468949637820745,16.5,5.341348144429457,7.42,2.8919889349719163,4.04,1.112834219459485,2.68,0.466476151587624,2.68,0.466476151587624,1.36,1.1447270417003348,7.72,2.1821090715177363,7.72,2.1821090715177363,0.0,0.0
add_agent:85,add_agent,5,-58872.746061733786,26139.56136217996,-30442.911523645194,14366.753777296304,49.78,13.157948168312565,10.02,2.8248185782453357,27.1,8.511756575466665,11.8,5.075431016179809,5.6,1.6613247725836153,3.38,0.6599999999999999,3.38,0.6599999999999999,2.22,1.5657586020839869,14.76,3.134070835191827,14.72,3.1435012327021594,0.0,0.0
add_agent:3,add_agent,6,-73359.43775540876,33281.68357218969,-37348.000067443776,18071.787219686405,73.02,17.561879170521586,14.3,3.9255572852781047,44.64,13.348797698669346,19.24,7.5619045220103125,8.08,2.2076231562474615,4.26,0.6575712889109437,4.26,0.6575712889109437,3.82,2.242231031807383,24.14,4.22852220048565,24.12,4.226771817829774,0.0,0.0
add_agent:6,add_agent,7,-81300.0434778196,34200.42690432508,-41192.1452867686,18898.125094572206,87.86,18.31939955347882,16.76,4.169220550654523,61.92,14.88198911436237,27.06,10.302252180955383,10.18,2.620610615867989,4.92,0.8207313811473274,4.92,0.8207313811473274,5.24,2.7244081926172514,35.1,6.077005841695399,35.08,6.045957327007858,0.0,0.0
add_agent:29,add_agent,8,-91988.21647925621,33713.83534117593,-48043.58675344419,19427.04652331745,103.82,22.33892566799039,19.22,5.408474831225527,86.76,20.3396755136359,39.42,14.86753510169053,13.06,3.420000000000001,5.56,0.9830564581955609,5.56,0.9830564581955609,7.48,3.748279605365639,47.58,6.609357003521598,47.56,6.618640343756413,0.0,0.0
add_agent:7,add_agent,9,-101857.09068408604,35229.36968175564,-53878.04733277674,22183.341754685458,122.28,24.16860773813833,21.78,5.977591488216636,122.12,33.40577195635509,56.74,23.982335165700608,16.7,4.767598976424089,6.24,0.9911609354691093,6.24,0.9911609354691093,10.44,5.219808425603376,63.0,7.515317691222374,62.88,7.444837137238128,0.0,0.0
add_agent:9,add_agent,10,-112786.64822845349,36393.80036786253,-59696.72333171402,22559.07976414958,146.34,31.881411512039428,25.34,7.6226242200439085,166.56,36.606644205662995,78.52,25.87295112661097,20.74,5.019203124002853,7.04,1.0762899237658972,7.04,1.0762899237658972,13.66,5.577131879380297,82.42,10.776066072551707,82.4,10.788883167408942,0.0,0.0
add_agent:17,add_agent,11,-124492.20066998844,39864.63952721701,-64821.18558413893,27084.835700835643,167.54,34.060657656598465,28.04,7.774213786615339,221.64,56.68748009922473,105.68,38.12056662747814,25.46,6.699880595950947,7.84,1.0650821564555473,7.84,1.0650821564555473,17.54,7.111146180469081,102.08,14.08664615868518,102.06,14.11298692694073,0.0,0.0
add_agent:5,add_agent,12,-138174.82183716635,40761.30388723901,-70217.72822689368,26246.20209618339,187.06,33.5502071528627,30.76,7.760309272187547,274.62,61.683673690856004,132.5,43.14776935138131,29.72,7.017235923068286,8.62,1.214742771124817,8.62,1.214742771124817,21.06,7.500426654531062,122.72,16.167918851849794,122.66,16.185932163456016,0.0,0.0
add_agent:13,add_agent,13,-150185.413735151,43344.68882373429,-77502.43854615536,27813.82567561211,208.88,39.30426948818665,33.42,8.44769791126553,342.92,82.49505197283048,168.72,55.124237863212215,34.7,8.560957890329798,9.48,1.2687001221722969,9.48,1.2687001221722969,25.18,9.045860931940087,147.24,17.106209398928794,147.22,17.143266899864802,0.0,0.0
add_agent:4,add_agent,14,-163377.0354698056,43055.98631931108,-84602.37284650412,30305.32487072887,229.08,39.76271620500792,35.76,8.696114074688763,417.34,99.80893947938732,208.84,67.22123474022179,40.04,9.939738427141835,10.24,1.0688311372709907,10.24,1.0688311372709907,29.76,10.377976681415314,172.24,17.930488002282587,172.22,17.962505393179427,0.0,0.0
add_agent:74,add_agent,15,-171551.19787108633,45150.20291076893,-88329.08004150075,31062.202198464434,247.84,38.65765642146455,37.64,8.522347094550891,493.12,104.43191849238431,254.08,71.01037670650678,45.0,10.077698149875298,10.9,1.1180339887498947,10.9,1.1180339887498947,34.06,10.4926831649488,199.72,21.412183447747683,199.66,21.499404642919767,0.0,0.0
add_agent:16,add_agent,16,-178335.0122439903,48588.30982685009,-93942.16434449662,33679.46815616002,271.62,39.34965819419528,40.3,8.690799733051039,593.24,122.57398745247703,317.84,86.74269075835727,51.26,11.366283473501795,11.56,1.1859173664298874,11.56,1.1859173664298874,39.66,11.767089699666608,229.92,22.33995523719777,229.9,22.38235912498948,0.0,0.0
add_agent:40,add_agent,17,-185867.15336553834,48538.8400733226,-97806.81226143472,32939.07078456353,290.82,42.169984586195895,42.18,9.313839165456958,689.38,127.36402788856829,379.82,91.13894666935754,56.8,11.246332735607641,12.12,1.3804347141389917,12.12,1.3804347141389917,44.64,11.726482848663535,260.1,27.164130760987,260.08,27.207969420741417,0.0,0.0
add_agent:11,add_agent,18,-197234.65192950395,48960.592716437415,-102961.28409868543,32885.79713475324,317.8,37.32237934537401,44.64,8.703470572133853,828.72,150.2911893625172,466.64,101.32477683173056,64.6,12.049896265113654,12.88,1.2270289320142376,12.88,1.2270289320142376,51.68,12.591171510228902,298.64,26.70262908404339,298.58,26.73207062687064,0.0,0.0
add_agent:2,add_agent,19,-209010.11081862156,48913.28240413138,-109027.61679359904,33768.10970430455,348.76,43.537367857967716,48.34,9.251183708045149,963.1,161.20313272390212,549.9,110.03876589638763,71.74,12.807513419864136,13.72,1.217209924376235,13.72,1.217209924376235,57.98,13.21285737454242,335.66,28.552134771326646,335.64,28.60682436063116,0.0,0.0
add_agent:30,add_agent,20,-221481.05814770958,52362.75410443376,-116611.70365277884,36051.74589062298,378.22,53.0204828344669,51.74,10.364960202528518,1100.04,196.5451561346654,641.48,145.4627429962738,78.76,14.113199495507741,14.52,1.236769986699225,14.52,1.236769986699225,64.2,14.42497833620557,373.76,30.009705096851583,373.66,30.11618169688846,0.0,0.0
add_agent:8,add_agent,21,-232169.2572579847,56155.47756722963,-120080.89663808292,37295.337890106646,409.06,59.49770079591311,55.16,11.701897282064992,1262.9,185.70732349587075,745.62,141.57017906324762,86.64,13.708041435595385,15.36,1.4799999999999993,15.36,1.4799999999999993,71.24,14.247189196469597,413.8,35.73905426840503,413.76,35.81260113423765,0.0,0.0
add_agent:10,add_agent,22,-243822.45301686917,61321.853049638354,-128713.05275911956,38952.8554630786,439.08,63.00820264060862,58.64,12.985776834675697,1419.84,220.66520885721883,848.68,172.17101265892586,93.68,14.693454324970693,16.06,1.4058449416631982,16.06,1.4058449416631982,77.54,15.21605730798882,453.76,36.272060873349886,453.74,36.31573212810118,0.0,0.0
add_agent:18,add_agent,23,-256473.2456845003,68512.22518732774,-135681.72466032908,41018.58036987956,466.3,67.994485070482,61.34,14.188178177623792,1586.86,233.30246548204326,957.42,193.81394067507117,101.42,15.473965231963007,16.78,1.6527552752903252,16.78,1.6527552752903252,84.6,16.09720472628711,499.02,38.98332464015865,498.98,39.00845549364908,0.0,0.0
add_agent:23,add_agent,24,-267380.7585810823,61986.16830396884,-140793.80219037755,37944.885910509736,487.42,63.747341905368906,63.02,13.757165405707672,1756.82,266.16706708381486,1067.0,221.9165608962071,108.42,16.010109306310188,17.4,1.5620499351813306,17.4,1.5620499351813306,90.98,16.76721801611705,538.88,39.96380362277846,538.86,40.006004549317346,0.0,0.0
add_agent:12,add_agent,25,-279892.7251940745,60597.282748814425,-146356.40321780843,37096.522558084784,516.0,69.54681876261488,65.16,14.301552363292595,1988.78,286.3837488406072,1212.94,234.1997788214156,117.74,16.746115967590814,18.16,1.629232948353304,18.16,1.629232948353304,99.54,17.51252123481939,593.76,46.2707510204881,593.7,46.353964231767705,0.0,0.0
add_agent:14,add_agent,26,-289187.449478789,61230.020717037965,-152023.44944358428,37608.89621730889,543.86,66.51075401767747,67.6,14.394443372357264,2217.24,302.90127500557014,1361.82,262.3902963144788,126.36,17.69605605777739,18.74,1.7413787640832192,18.74,1.7413787640832192,107.58,18.52251602779709,644.92,48.50725306590757,644.9,48.55193096057045,0.0,0.0
add_agent:15,add_agent,27,-297464.8796681265,58888.51585014904,-156119.81153832548,36403.0011688904,567.64,65.13025717744404,69.02,14.314314513800513,2459.06,368.632142385875,1517.68,295.4857993203734,135.54,19.40949252298988,19.26,1.5850552040859653,19.26,1.5850552040859653,116.24,20.408390431388753,695.08,45.9773161461171,695.06,46.02625772317362,0.0,0.0
add_agent:49,add_agent,28,-306049.72609624057,59453.01738464584,-160689.7416623806,37593.79382090592,593.3,67.45376194105113,70.6,14.733634989370408,2716.1,376.60346519914015,1691.82,318.9609813127618,144.92,19.674186133103447,19.82,1.7051686133634991,19.82,1.7051686133634991,125.06,20.723329848265212,749.36,54.00213329119508,749.26,54.06692519461412,0.0,0.0
add_agent:50,add_agent,29,-313466.79037458793,58292.58005857295,-163420.8104958144,38593.23579812325,620.42,66.87064826962573,72.26,14.906119548695429,2998.82,397.469832314353,1888.32,346.85307782979237,155.06,20.492349792056544,20.36,1.8842505141302208,20.36,1.8842505141302208,134.66,21.595008682563662,802.08,57.64055516734723,802.04,57.69296664239066,0.0,0.0
add_agent:19,add_agent,30,-319312.3608472621,59457.79606268532,-165541.37056083963,39060.05525507223,646.1,68.90841748291716,73.62,15.440064766703543,3288.78,450.85267172325825,2092.4,389.45623630903634,165.02,21.83161927113974,20.74,1.9474085344374972,20.72,1.9291448882859983,144.24,22.999617388121916,856.92,58.93618243490158,856.88,59.022924359946785,0.0,0.0
add_agent:21,add_agent,31,-331944.6394943183,58959.95381036052,-173009.439532567,38674.329217355415,684.96,72.71284893332127,76.44,15.363801612882147,3678.06,522.7438535267535,2364.98,418.5194614351883,177.92,23.909696777667424,21.6,1.8330302779823362,21.6,1.8330302779823362,156.28,25.105409775584228,924.44,63.63588924498501,924.22,63.68902260201517,0.0,0.0
add_agent:35,add_agent,32,-340586.2409279493,59829.84557983667,-176827.79859075867,39657.984333899614,711.2,73.95106490105468,77.98,15.617285295466687,3993.12,587.2688529115093,2589.6,476.38505434154837,187.96,26.509590717323416,22.1,1.7578395831246947,22.1,1.7578395831246947,165.82,27.578027485663284,978.66,60.03752493232878,978.64,60.08252990678738,0.0,0.0
add_agent:47,add_agent,33,-346736.9719919417,61487.51516247101,-180049.22704069264,41880.7510243731,734.16,74.4895589999028,78.92,15.522680180948132,4296.56,573.2277439203374,2801.02,476.86830425181324,197.66,25.853131338389165,22.44,1.8238420984284793,22.44,1.8238420984284793,175.18,26.819910514392106,1033.1,67.00723841496529,1033.08,67.05217073294496,0.0,0.0
add_agent:27,add_agent,34,-355536.6776115974,64962.52163314399,-184555.17656167754,43834.29170363258,765.34,74.84720702871951,80.28,15.683162946293711,4724.4,595.2930370834182,3092.86,498.5480522477248,210.38,26.58637997170732,23.0,1.9183326093250879,23.0,1.9183326093250879,187.34,27.565638029982182,1102.0,77.48393381856654,1101.9,77.57454479402377,0.0,0.0
add_agent:24,add_agent,35,-366115.45967695775,69231.01018761651,-191193.59818132612,45873.774744838185,797.78,74.12942465714946,81.54,15.6271686495027,5198.54,669.3665127566512,3418.88,544.9639488993744,224.14,28.461911390488165,23.54,1.9205207627099476,23.54,1.9205207627099476,200.56,29.487733042741688,1171.7,78.38526647272433,1171.6,78.39999999999999,0.0,0.0
add_agent:25,add_agent,36,-371432.40540644474,69784.61446084318,-193315.65790926482,45493.76065727212,825.04,74.78287504502619,82.84,16.12,5580.16,656.7685242153434,3685.08,543.0827502324116,235.06,28.137810860122006,23.96,2.125652840893828,23.96,2.125652840893828,211.06,29.32944595453518,1230.16,87.54344292978203,1230.06,87.59164572035395,0.0,0.0
add_agent:26,add_agent,37,-377306.1061755402,69516.51040654139,-196574.05824266878,46482.026196062114,852.54,76.10235475988901,84.04,16.313135811363797,5988.94,731.9165638240469,3964.16,595.6094814557606,246.4,30.05794404146764,24.34,2.187327136026982,24.34,2.187327136026982,222.0,31.20256399721023,1293.66,82.56624249655545,1293.64,82.60938445479424,0.0,0.0
add_agent:28,add_agent,38,-386216.8130551678,71583.66545960258,-202399.65122073333,47066.47486751651,887.96,77.35889347709157,85.32,16.393218109938026,6548.24,801.41503754297,4355.12,640.1859617329952,261.48,31.810212196714435,24.82,2.188058500132023,24.82,2.188058500132023,236.62,33.09313523980464,1366.28,86.76889765347953,1366.22,86.82563907049577,0.0,0.0
