event,type,num_agents,node_cost,node_cost-std,edge_cost,edge_cost-std,message_count,message_count-std,num_changes,num_changes-std,announce_msg_count,announce_msg_count-std,announce_res_msg_count,announce_res_msg_count-std,add_me_count,add_me_count-std,child_added_count,child_added_count-std,parent_assigned_count,parent_assigned_count-std,already_active_count,already_active_count-std,ping_msg_count,ping_msg_count-std,ping_msg_resp_count,ping_msg_resp_count-std,constraint_changed_count,constraint_changed_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-18214.0499161258,7878.882700815639,-8396.39253771442,7293.002738003076,7.75,0.82915619758885,1.9166666666666667,0.27638539919628335,2.1666666666666665,0.8249579113843055,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.27638539919628335,0.08333333333333333,0.27638539919628335,0.0,0.0
add_agent:52,add_agent,3,-25323.90219447922,13286.345187807527,-13324.239649057623,9362.592300096128,18.9375,4.749588797990833,4.416666666666667,1.1149240133549714,7.0,2.4664414311581235,2.3541666666666665,1.0702332949201103,1.9583333333333333,0.49826086429589134,1.8541666666666667,0.35293904887702926,1.8541666666666667,0.35293904887702926,0.10416666666666667,0.30547663122114976,3.2708333333333335,1.2203070538006229,3.2708333333333335,1.2203070538006229,0.0,0.0
add_agent:60,add_agent,4,-36183.25906821945,17223.198500720246,-22842.022537508437,14331.502725435623,32.9375,8.034836261555053,7.291666666666667,1.9786183450972938,13.875,5.101572470000467,5.0,3.2850672240711707,3.2083333333333335,1.1539485353438526,2.6458333333333335,0.4782600118020416,2.6458333333333335,0.4782600118020416,0.5625,1.1709371246996996,7.75,2.165063509461097,7.75,2.165063509461097,0.0,0.0
add_agent:2,add_agent,5,-44783.00656112551,20906.029856351124,-27489.863110293965,17845.91262361668,40.854166666666664,9.260106153399228,8.645833333333334,2.1261230692402435,22.104166666666668,8.256915241514568,8.4375,5.563670288877058,4.458333333333333,1.81381657163991,3.0416666666666665,0.6109532624422991,3.0416666666666665,0.6109532624422991,1.4166666666666667,1.8465433171800285,13.979166666666666,3.037882920536749,13.979166666666666,3.037882920536749,0.0,0.0
add_agent:3,add_agent,6,-56760.94328649156,22228.027808936306,-32067.209623048107,17721.930875649687,52.6875,9.09935036600599,10.354166666666666,2.0865600012673715,42.770833333333336,14.302155407684383,15.520833333333334,10.456237339767855,7.375,3.0388114452858046,3.6875,0.582961190818051,3.6875,0.582961190818051,3.6875,3.1434869836960777,22.770833333333332,3.392636532092539,22.770833333333332,3.392636532092539,0.0,0.0
add_agent:7,add_agent,7,-65791.29689525827,25009.691419805742,-36639.795681624935,18714.00431121615,63.145833333333336,9.585122115665623,11.5625,2.272170859919356,65.52083333333333,18.501114362083406,25.104166666666668,14.124800268991025,10.3125,3.714589759762622,4.229166666666667,0.7141306875417754,4.229166666666667,0.7141306875417754,6.083333333333333,3.9148932155154488,32.791666666666664,6.017191805337621,32.791666666666664,6.017191805337621,0.0,0.0
add_agent:6,add_agent,8,-75894.26644608659,25765.32880256459,-41593.745606805474,19368.03734170285,79.25,16.57998291112911,13.395833333333334,2.9207560617453523,105.04166666666667,32.085795360079345,42.958333333333336,22.94554998009176,14.666666666666666,5.292814836066806,4.895833333333333,0.8475352336169995,4.895833333333333,0.8475352336169995,9.75,5.253966755382705,45.5,6.1407111423135134,45.5,6.1407111423135134,0.0,0.0
add_agent:39,add_agent,9,-88189.91788368362,28994.067084953724,-49691.78397140166,21378.079833185315,97.60416666666667,19.05774075379579,15.895833333333334,3.612706645377612,145.16666666666666,33.20914365385266,62.541666666666664,25.521198976972503,19.020833333333332,5.379318355723355,5.645833333333333,1.0101481602000548,5.645833333333333,1.0101481602000548,13.354166666666666,5.467668543863605,59.0,8.744045593049783,58.958333333333336,8.69855910801068,0.0,0.0
add_agent:49,add_agent,10,-101459.553238331,35173.291943759396,-56197.92879400994,24863.248054408312,117.4375,19.09723611110606,18.604166666666668,3.9303285662764744,195.35416666666666,38.840211971257595,86.89583333333333,29.58831384131618,23.520833333333332,5.697183453738835,6.458333333333333,1.135751097536584,6.458333333333333,1.135751097536584,17.0625,5.973574620777747,75.08333333333333,10.620015170526932,75.08333333333333,10.620015170526932,0.0,0.0
