event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
add_agent:0,add_agent,1,0.0,0.0,0.0,0.0
add_agent:1,add_agent,2,-2044.9491050516942,2171.1994610900915,10.0,0.0
add_agent:2,add_agent,3,-2027.7678060320711,2465.683871712441,30.0,0.0
add_agent:3,add_agent,4,-2598.826168568012,4260.104586041714,62.0,4.0
add_agent:4,add_agent,5,-2895.578581517911,4310.492003430418,104.0,8.0
add_agent:5,add_agent,6,-4250.472095724697,4671.308818741866,158.0,16.0
add_agent:6,add_agent,7,-5532.003700120479,3919.045739989728,222.0,24.0
add_agent:7,add_agent,8,-6069.232338506417,2889.210367933745,298.0,31.240998703626616
add_agent:8,add_agent,9,-7823.927457052557,2933.0836264341433,386.0,37.73592452822641
add_agent:9,add_agent,10,-7638.2242201129675,3358.0157842799877,488.0,48.33218389437829
add_agent:10,add_agent,11,-8506.13858909786,5564.236727412531,602.0,59.799665550904216
add_agent:11,add_agent,12,-9879.498878478154,5716.876079270215,726.0,72.0
add_agent:12,add_agent,13,-11635.137784689301,7705.495608503914,864.0,85.22910301065006
add_agent:13,add_agent,14,-12299.87303226034,5896.157790968788,1014.0,98.91410415102591
add_agent:14,add_agent,15,-14363.192358009997,5043.381301951239,1174.0,113.4195750300626
add_agent:15,add_agent,16,-15065.52101867743,5090.78885226991,1344.0,128.4678948220138
add_agent:16,add_agent,17,-16397.790888117623,4599.17842151956,1526.0,144.1665703275208
add_agent:17,add_agent,18,-15655.55728884996,3553.5403152606364,1722.0,160.4244370412438
add_agent:18,add_agent,19,-18725.362847408796,5634.880255999039,1930.0,179.22053453775882
add_agent:19,add_agent,20,-19455.313658639225,6950.155088453342,2148.0,198.1312696168881
add_agent:20,add_agent,21,-19855.96591615615,6359.23541893372,2376.0,217.12669112755344
add_agent:21,add_agent,22,-20118.987221815805,6274.634429897783,2614.0,236.18636709175235
add_agent:22,add_agent,23,-19808.540166608098,6476.309844667042,2862.0,255.29590674352772
add_agent:23,add_agent,24,-20803.393967167853,7425.656989680764,3120.0,274.44489428663087
add_agent:24,add_agent,25,-21824.169802148586,6311.898936822611,3392.0,293.148426569204
add_agent:25,add_agent,26,-22710.328538279195,6727.454040145562,3676.0,309.2313050129304
add_agent:26,add_agent,27,-25357.81640127865,4809.313877782254,3970.0,325.330601081423
add_agent:27,add_agent,28,-26790.09840862691,3813.9630682658017,4274.0,341.4439924790009
add_agent:28,add_agent,29,-25158.08533693177,5694.638112114492,4588.0,357.5695736496605
add_agent:29,add_agent,30,-27223.58109801226,4389.793851544503,4914.0,374.5183573604904
add_agent:30,add_agent,31,-31174.64886914931,5182.830003137477,5250.0,391.509897703749
add_agent:31,add_agent,32,-32962.88968675306,5425.772318069767,5596.0,408.53885984077453
add_agent:32,add_agent,33,-35288.63674213709,6108.215483546017,5952.0,425.6007518790351
add_agent:33,add_agent,34,-36894.6852011313,7452.716250749578,6318.0,442.691766356683
add_agent:34,add_agent,35,-36401.52742685807,7418.586166036016,6696.0,461.9350603710439
add_agent:35,add_agent,36,-36316.67753100612,7501.536520346001,7084.0,481.1901910887212
add_agent:36,add_agent,37,-37965.57888110987,7826.8042427134305,7486.0,503.6109609609386
add_agent:37,add_agent,38,-39165.41186146298,7576.198162025408,7900.0,527.6741418716668
add_agent:38,add_agent,39,-40419.09884726221,7316.565039905454,8326.0,553.338955794728
add_agent:39,add_agent,40,-39520.55037487323,6280.659816049475,8764.0,580.6410250748736
add_agent:40,add_agent,41,-40026.20475542286,5809.844391676379,9214.0,610.1016308780038
add_agent:41,add_agent,42,-41384.0412943129,6587.223364978709,9676.0,640.580986292912
add_agent:42,add_agent,43,-43375.61559998896,7677.2692094703425,10150.0,672.7555276621664
add_agent:43,add_agent,44,-43821.48442859651,7318.48331114042,10634.0,704.9709213861236
add_agent:44,add_agent,45,-42401.329083624834,6956.987625089921,11128.0,737.2218119399344
add_agent:45,add_agent,46,-45608.34300522563,6788.670149676064,11634.0,767.5050488433285
add_agent:46,add_agent,47,-47057.145915799294,8858.61920811148,12150.0,797.822035293586
add_agent:47,add_agent,48,-47137.15240039891,8843.549773588491,12678.0,829.1779061214788
add_agent:48,add_agent,49,-48519.71600460779,10244.96716029436,13218.0,861.6124418785978
add_agent:49,add_agent,50,-48872.710416832895,11802.59626757069,13770.0,896.0580338348627
add_agent:50,add_agent,51,-49084.4666000552,12001.754577928281,14336.0,930.5181352343435
add_agent:51,add_agent,52,-48799.55821534975,12379.936813956378,14912.0,965.0160620424926
add_agent:52,add_agent,53,-50762.65256247418,12055.974972089538,15500.0,996.6744704265279
add_agent:53,add_agent,54,-52070.95295291614,12051.331376561398,16098.0,1028.3462451917642
add_agent:54,add_agent,55,-53105.5979980889,12047.560220725498,16708.0,1061.9868172439806
add_agent:55,add_agent,56,-52009.65739221018,12243.43893321598,17328.0,1095.6532298131558
add_agent:56,add_agent,57,-52458.60696467472,11594.62102130019,17960.0,1130.4689292501585
add_agent:57,add_agent,58,-53073.61998138736,11562.84369886182,18604.0,1166.475031880237
add_agent:58,add_agent,59,-55416.15182507015,10478.796011443988,19260.0,1204.5414065112084
add_agent:59,add_agent,60,-55369.31076949297,11022.909104327262,19926.0,1242.684191578858
add_agent:60,add_agent,61,-53812.21489658977,9722.29333176401,20604.0,1282.475730764524
add_agent:61,add_agent,62,-54101.1512633974,9349.915988510713,21294.0,1323.519550290059
add_agent:62,add_agent,63,-54572.19828503911,9744.390323514677,21994.0,1364.618628042282
add_agent:63,add_agent,64,-54576.04620000768,10366.70743820661,22706.0,1407.3038051536705
add_agent:64,add_agent,65,-55041.45266613465,9870.212999907353,23428.0,1450.0124137399653
add_agent:65,add_agent,66,-55176.7071420977,10490.997313803884,24160.0,1492.7424426202933
add_agent:66,add_agent,67,-57061.57268084921,10999.585940008266,24902.0,1535.4921035290283
add_agent:67,add_agent,68,-57432.45589685735,11516.553779523527,25654.0,1578.2598011734317
add_agent:68,add_agent,69,-58628.46259323304,12086.560834419472,26416.0,1621.044107974857
add_agent:69,add_agent,70,-59947.90849366126,12769.648483425544,27188.0,1663.8437426633548
add_agent:70,add_agent,71,-60428.59970085822,12584.933814291693,27970.0,1706.6575520589947
add_agent:71,add_agent,72,-61093.36870280248,11912.354655998131,28762.0,1749.4844955014605
add_agent:72,add_agent,73,-62213.158725275985,11928.795023407718,29564.0,1792.3236314906972
add_agent:73,add_agent,74,-64064.4611482855,13156.792675067465,30376.0,1835.174106181754
add_agent:74,add_agent,75,-64998.63807588505,14840.858817563474,31200.0,1876.1130029931567
add_agent:75,add_agent,76,-65660.71069358724,14560.554561803905,32034.0,1917.0665090184013
add_agent:76,add_agent,77,-67111.60891321363,16005.065598294945,32878.0,1958.0337075750253
add_agent:77,add_agent,78,-68396.0991120543,15407.334714489603,33732.0,1999.013756831103
add_agent:78,add_agent,79,-70145.32023373344,13686.372462002364,34596.0,2040.0058823444604
add_agent:79,add_agent,80,-70396.83165229505,12390.927064558355,35472.0,2082.4735292435294
add_agent:80,add_agent,81,-72192.32901238956,13542.689117037062,36358.0,2124.9508229603807
add_agent:81,add_agent,82,-71844.89967296502,14438.937956840236,37256.0,2168.9130918503856
add_agent:82,add_agent,83,-72997.85060717411,16250.387216349769,38166.0,2214.3315018307444
add_agent:83,add_agent,84,-74760.94465698136,17419.940490786386,39086.0,2259.77521005962
add_agent:84,add_agent,85,-74903.94249063046,16439.38489756698,40018.0,2303.366232278315
add_agent:85,add_agent,86,-74146.83030610532,16820.978420098803,40962.0,2348.8499313493826
add_agent:86,add_agent,87,-76537.1084897324,15855.485297846255,41916.0,2394.348345583825
add_agent:87,add_agent,88,-77319.27112677839,14928.233588538464,42882.0,2438.010664455757
add_agent:88,add_agent,89,-78918.04880641165,14761.387311359453,43858.0,2481.7042531292886
add_agent:89,add_agent,90,-79568.61986022729,14618.256480647682,44844.0,2525.427488565055
add_agent:90,add_agent,91,-80299.87012390961,15673.113222122569,45840.0,2569.178857144827
add_agent:91,add_agent,92,-81092.94899223196,15070.984691723459,46846.0,2612.9569456843333
add_agent:92,add_agent,93,-81726.53956917903,16046.923944539985,47862.0,2656.76043330971
add_agent:93,add_agent,94,-80707.15219048018,17692.514709236915,48892.0,2703.9186378291784
